# 公文常见错误词组（错误写法→正确写法）
# 格式：错误|正确
安祥|安详
安装|按装
按奈|按捺
按步就班|按部就班
暗然泪下|黯然泪下
百废待新|百废待兴
百练成钢|百炼成钢
斑驳陆离|斑驳陆离
搬门弄斧|班门弄斧
报复|抱负
暴燥|暴躁
卑恭屈膝|卑躬屈膝
悲哀|悲哀
毕竞|毕竟
辨析|辩析
辩论|辨论
别出新裁|别出心裁
并行不背|并行不悖
拨乱返正|拨乱反正
博取众长|博采众长
不加思索|不假思索
不记其数|不计其数
不径而走|不胫而走
不落巢臼|不落窠臼
不能自已|不能自己
布署|部署
残无人道|惨无人道
仓黄失措|仓皇失措
策划|策画
缠绵悱恻|缠绵悱测
陈词烂调|陈词滥调
趁心如意|称心如意
成群接队|成群结队
城门失火殃及池鱼|城门失火殃及池鱼
出奇不意|出其不意
出人投地|出人头地
穿流不息|川流不息
纯萃|纯粹
粗旷|粗犷
措词|措辞
大才小用|大材小用
大声急呼|大声疾呼
得不尝失|得不偿失
得陇望蜀|得垄望蜀
低毁|诋毁
颠簸|颠波
掉以轻心|调以轻心
鼎力相助|顶力相助
独挡一面|独当一面
度过难关|渡过难关
发奋图强|发愤图强
翻然悔悟|幡然悔悟
防碍|妨碍
放浪不羁|放浪不际
分道扬镖|分道扬镳
纷至沓来|纷至踏来
丰功伟迹|丰功伟绩
蜂涌而至|蜂拥而至
浮想联篇|浮想联翩
负偶顽抗|负隅顽抗
覆盖|复盖
改弦更章|改弦更张
感恩带德|感恩戴德
各行其事|各行其是
工程峻工|工程竣工
功亏一匮|功亏一篑
勾通|沟通
骨梗在喉|骨鲠在喉
鬼计多端|诡计多端
汗流夹背|汗流浃背
好高鹜远|好高骛远
和霭|和蔼
轰堂大笑|哄堂大笑
后遗症|后遗证
焕然一新|换然一新
辉煌|灰煌
浑浑恶恶|浑浑噩噩
混然一体|浑然一体
积毁消骨|积毁销骨
激奋|激愤
坚如盘石|坚如磐石
见义勇为|见意勇为
矫生惯养|娇生惯养
竭泽而鱼|竭泽而渔
精兵减政|精兵简政
精神焕散|精神涣散
久负盛名|久负盛名
举一反三|举一翻三
绝对|决对
竣工|骏工
克苦|刻苦
空前决后|空前绝后
口密腹箭|口蜜腹剑
夸夸奇谈|夸夸其谈
脍灸人口|脍炙人口
宽弘大量|宽宏大量
蓝天白云|兰天白云
牢骚|唠骚
厉害|利害
历害|厉害
厉行节约|力行节约
联袂|连袂
了了无几|寥寥无几
流芳百世|留芳百世
留恋|留连
龙盘虎据|龙盘虎踞
落英宾纷|落英缤纷
满堂灌|满堂贯
毛骨耸然|毛骨悚然
贸然|冒然
美仑美奂|美轮美奂
迷天大谎|弥天大谎
名列前矛|名列前茅
莫不关心|漠不关心
莫衷一是|莫衷一事
目不暇接|目不暇给
呕心沥血|呕心历血
旁证博引|旁征博引
磬竹难书|罄竹难书
曲指可数|屈指可数
人才倍出|人才辈出
人情事故|人情世故
仁至义尽|人至义尽
三翻五次|三番五次
散漫|散慢
色厉内茬|色厉内荏
山青水秀|山清水秀
深明大意|深明大义
声名雀起|声名鹊起
声色具厉|声色俱厉
省吃简用|省吃俭用
事必恭亲|事必躬亲
适得其返|适得其反
谈笑风声|谈笑风生
提纲挈领|提纲契领
题纲|提纲
天翻地复|天翻地覆
铤而走险|挺而走险
通货膨涨|通货膨胀
投机捣把|投机倒把
歪风斜气|歪风邪气
妄自菲薄|忘自菲薄
唯唯诺诺|惟惟诺诺
文过是非|文过饰非
无耻烂言|无耻谰言
无独有偶|无独有隅
无所是从|无所适从
相形见拙|相形见绌
心浮气燥|心浮气躁
心旷神意|心旷神怡
心心相映|心心相印
兴高采列|兴高采烈
修养|休养
虚张声势|虚张生势
悬梁刺骨|悬梁刺股
严阵以待|严阵以代
咬文嚼字|咬文嚼子
一鼓作气|一股作气
一愁莫展|一筹莫展
义不容词|义不容辞
因地置宜|因地制宜
英雄倍出|英雄辈出
优柔寡段|优柔寡断
忧心冲冲|忧心忡忡
有持无恐|有恃无恐
原形必露|原形毕露
源远流常|源远流长
越俎代庖|越组代庖
仗义直言|仗义执言
针贬时弊|针砭时弊
震憾|震撼
知书答礼|知书达礼
指手画脚|指手划脚
中流抵柱|中流砥柱
众口烁金|众口铄金
自力更生|自立更生
作壁上观|座壁上观
坐想其成|坐享其成
