# 公文常见易混淆字词对照表
# 格式：错误词|正确词|说明
# ========== 同音/近音易混字 ==========
象|像|"好象"应为"好像"
付|副|"付主任"应为"副主任"
暨|既|"暨然"应为"既然"
即|既|注意区分"即使"和"既然"
以|已|"以经"应为"已经"
在|再|"在次"应为"再次"
座|坐|"请座"应为"请坐"
做|作|注意"做"和"作"的区别
的|地|注意"的""地""得"的用法
和|合|"和同"应为"合同"
定|订|"签定"应为"签订"
报|抱|注意区分
制定|制订|法律法规用"制定"，计划方案用"制订"
截止|截至|"截止目前"应为"截至目前"
权利|权力|注意区分"权利"和"权力"
启用|起用|注意区分
必须|必需|"必须"表必要，"必需"表需要
其他|其它|公文中统一用"其他"
哪里|那里|疑问用"哪"，指示用"那"
帐|账|"账户""账目"不写作"帐户""帐目"
份|分|"身份"不写作"身分"
覆盖|复盖|应写作"覆盖"
考察|考查|"考察"指实地观察，"考查"指检查
化妆|化装|注意区分含义
树立|竖立|注意区分
反应|反映|注意区分
暴发|爆发|疾病用"暴发"，战争用"爆发"
推行|实行|注意语境区分
增长|增涨|应写作"增长"
凄惨|悽惨|应写作"凄惨"
简练|简炼|应写作"简练"
申明|声明|正式场合用"声明"
记录|纪录|一般用"记录"，突破性用"纪录"
部署|布署|应写作"部署"
安排|按排|应写作"安排"
渲染|宣染|应写作"渲染"
寒暄|寒喧|应写作"寒暄"
追溯|追朔|应写作"追溯"
蜕变|退变|应写作"蜕变"
竣工|峻工|应写作"竣工"
通牒|通碟|应写作"通牒"
抉择|决择|应写作"抉择"
部署|布署|应写作"部署"
松弛|松驰|应写作"松弛"
脉搏|脉博|应写作"脉搏"
掣肘|制肘|应写作"掣肘"
精粹|精萃|应写作"精粹"
荟萃|荟翠|应写作"荟萃"
# ========== 公文高频错误 ==========
即时|及时|"即时纠正"应为"及时纠正"
予以|与以|"与以处分"应为"予以处分"
以至|以致|"以至于"表递进，"以致"表因果
综合治理|综合治礼|应写作"综合治理"
考核|考和|应写作"考核"
贯彻落实|贯策落实|应写作"贯彻落实"
蓬勃发展|篷勃发展|应写作"蓬勃发展"
统筹兼顾|统愁兼顾|应写作"统筹兼顾"
言简意赅|言简意该|应写作"言简意赅"
融会贯通|融汇贯通|应写作"融会贯通"
一如既往|一如继往|应写作"一如既往"
再接再厉|再接再励|应写作"再接再厉"
世外桃源|世外桃园|应写作"世外桃源"
金碧辉煌|金壁辉煌|应写作"金碧辉煌"
走投无路|走头无路|应写作"走投无路"
川流不息|穿流不息|应写作"川流不息"
迫不及待|迫不急待|应写作"迫不及待"
谈笑风生|谈笑风声|应写作"谈笑风生"
既往不咎|既往不究|应写作"既往不咎"
草菅人命|草管人命|应写作"草菅人命"
矫揉造作|娇揉造作|应写作"矫揉造作"
振聋发聩|震聋发聩|应写作"振聋发聩"
名副其实|名符其实|应写作"名副其实"
变本加厉|变本加利|应写作"变本加厉"
墨守成规|墨守陈规|应写作"墨守成规"
